starting_date,am_or_pm,title,location,session_type,time_location
2023-03-29T00:00:00-07:00,PM,Asymmetric Reactions & Syntheses:,Room 201 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:50pm USA / Canada - Eastern - March 29, 2023 | Location: Room 201 (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,"Nucleic Acids, Carbohydrates, Peptides, and Lipids:",Room 203 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:10pm USA / Canada - Eastern - March 29, 2023 | Location: Room 203 (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,Photocatalysis & Photochemistry:,Room 202 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:35pm USA / Canada - Eastern - March 29, 2023 | Location: Room 202 (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,Cross Coupling Reactions:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 29, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,Electrochemistry in Organic Synthesis:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 29, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,Green Methods & Syntheses:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 29, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,New Reactions & Methodology:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 29, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,"Nucleic Acids, Carbohydrates, Peptides, and Lipids:",Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 29, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-29T00:00:00-07:00,PM,Virtual Graduate Students Symposium in Asia-Pacific Region on Synthetic Chemistry:,Virtual Session (Virtual Only),Session Type: Oral - Virtual,"08:00pm - 11:55pm USA / Canada - Eastern - March 29, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-30T00:00:00-07:00,AM,Photocatalysis & Photochemistry:,Room 142 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 10:45am USA / Canada - Eastern - March 30, 2023 | Location: Room 142 (Indiana Convention Center)"
2023-03-30T00:00:00-07:00,AM,Biocatalysis and Biologically Related Processes:,Room 143 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 10:45am USA / Canada - Eastern - March 30, 2023 | Location: Room 143 (Indiana Convention Center)"
2023-03-30T00:00:00-07:00,AM,Metal-Mediated Reactions & Syntheses:,Room 141 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:35am USA / Canada - Eastern - March 30, 2023 | Location: Room 141 (Indiana Convention Center)"
2023-03-30T00:00:00-07:00,PM,Virtual Graduate Students Symposium in Asia-Pacific Region on Synthetic Chemistry:,Virtual Session (Virtual Only),Session Type: Oral - Virtual,"08:00pm - 11:50pm USA / Canada - Eastern - March 30, 2023 | Location: Virtual Session (Virtual Only)"
